,time_start,time_end,table_id
66,2021-10-22T16:49:25.000Z,2021-10-22T18:22:20.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021295164925_O16204_03_T08405_02_003_02_V002
67,2021-11-18T23:52:17.000Z,2021-11-19T01:25:13.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021322235217_O16627_02_T10329_02_003_02_V002
68,2021-11-22T22:20:45.000Z,2021-11-22T23:53:40.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2021326222045_O16688_02_T04178_02_003_02_V002
69,2022-01-01T06:48:33.000Z,2022-01-01T08:21:24.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022001064833_O17298_02_T04025_02_003_02_V002
70,2022-01-05T05:12:28.000Z,2022-01-05T06:45:19.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022005051228_O17359_02_T08600_02_003_02_V002
71,2022-01-21T05:01:52.000Z,2022-01-21T06:34:44.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022021050152_O17607_03_T06982_02_003_02_V002
72,2022-01-25T03:26:42.000Z,2022-01-25T04:59:34.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022025032642_O17668_03_T09981_02_003_02_V002
73,2022-01-29T01:51:18.000Z,2022-01-29T03:24:10.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022029015118_O17729_03_T06018_02_003_02_V002
74,2022-02-12T14:04:20.000Z,2022-02-12T15:37:12.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022043140420_O17954_02_T09717_02_003_02_V002
75,2022-03-12T09:06:59.000Z,2022-03-12T10:39:52.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022071090659_O18385_03_T04595_02_003_02_V002
76,2022-03-16T07:32:31.000Z,2022-03-16T09:05:24.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022075073231_O18446_03_T07594_02_003_02_V002
77,2022-04-03T18:12:35.000Z,2022-04-03T19:45:26.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022093181235_O18732_02_T02755_02_003_02_V002
78,2022-04-07T16:36:21.000Z,2022-04-07T18:09:12.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022097163621_O18793_02_T02908_02_003_02_V002
79,2022-05-08T04:31:47.000Z,2022-05-08T06:04:38.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022128043147_O19266_02_T01638_02_003_02_V002
80,2022-05-28T02:45:00.000Z,2022-05-28T04:17:51.000Z,LARSE/GEDI/GEDI02_A_002/GEDI02_A_2022148024500_O19575_03_T05865_02_003_02_V002
